POOL|Sorcerer Bloodline|selections 53|linked+held 30|lines before 9800|lines after 1040|linked lines: held 6938, NOT-HELD 1822, no converted member rule 0|unlinked lines still printed 1040
LINE|Sorcerer|Shaitan Bloodline|5|Shaitan Bloodline ~ Avalanche|Sorcerer_ShaitanAvalanche_BullRushCMB|9|NOT-HELD
LINE|Sorcerer|Shaitan Bloodline|6|Shaitan Bloodline ~ Avalanche|Sorcerer_ShaitanAvalanche_BullRushCMB|11|NOT-HELD
LINE|Sorcerer|Shaitan Bloodline|7|Shaitan Bloodline ~ Avalanche|Sorcerer_ShaitanAvalanche_BullRushCMB|13|NOT-HELD
LINE|Sorcerer|Shaitan Bloodline|8|Shaitan Bloodline ~ Avalanche|Sorcerer_ShaitanAvalanche_BullRushCMB|15|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|1|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_DC|10|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|1|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_Duration|2|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|1|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_HD|4|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|1|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_DC|10|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|1|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_Times|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|1|Starsoul Bloodline ~ Voidwalker|ColdResistanceBonus|5|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|1|Starsoul Bloodline ~ Voidwalker|FireResistanceBonus|5|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|1|Starsoul Bloodline ~ Voidwalker|HasLowlightVision|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|2|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_DC|11|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|2|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_Duration|4|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|2|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_HD|8|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|2|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_DC|11|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|2|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_Times|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|2|Starsoul Bloodline ~ Voidwalker|ColdResistanceBonus|5|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|2|Starsoul Bloodline ~ Voidwalker|FireResistanceBonus|5|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|2|Starsoul Bloodline ~ Voidwalker|HasLowlightVision|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|3|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_DC|12|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|3|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_Duration|6|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|3|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_HD|12|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|3|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_DC|12|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|3|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_Times|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|4|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_DC|13|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|4|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_Duration|8|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|4|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_HD|16|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|4|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_DC|13|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|4|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_Times|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|5|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_DC|14|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|5|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_Duration|10|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|5|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_HD|20|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|5|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_DC|14|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|5|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_Times|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|6|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_DC|15|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|6|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_Duration|12|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|6|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_HD|24|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|6|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_DC|15|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|6|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_Times|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|7|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_DC|16|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|7|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_Duration|14|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|7|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_HD|28|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|7|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_DC|16|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|7|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_Times|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|8|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_DC|17|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|8|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_Duration|16|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|8|Starsoul Bloodline ~ Aurora Borealis|Sorcerer_StarsoulAuroraBorealis_HD|32|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|8|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_DC|17|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|8|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_Times|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|9|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_DC|18|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|9|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_Times|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|10|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_DC|19|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|10|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_Times|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|11|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_DC|20|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|11|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_Times|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|12|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_DC|21|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|12|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_Times|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|13|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_DC|22|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|13|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_Times|1|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|14|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_DC|23|NOT-HELD
LINE|Sorcerer|Starsoul Bloodline|14|Starsoul Bloodline ~ Breaching the Gulf|Sorcerer_StarsoulBreachingTheGulf_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|1|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Duration|2|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|1|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|1|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|1|Stormborn Bloodline ~ Stormchild|ElectricityResistanceBonus|5|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|1|Stormborn Bloodline ~ Stormchild|SonicResistanceBonus|5|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|1|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_DC|10|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|1|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Dice|2|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|1|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|2|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Duration|4|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|2|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|2|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|2|Stormborn Bloodline ~ Stormchild|ElectricityResistanceBonus|5|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|2|Stormborn Bloodline ~ Stormchild|SonicResistanceBonus|5|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|2|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_DC|11|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|2|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Dice|4|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|2|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|3|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Duration|6|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|3|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|3|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|3|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_DC|12|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|3|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Dice|6|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|3|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|4|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Duration|8|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|4|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|4|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|4|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_DC|13|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|4|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Dice|8|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|4|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|5|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Duration|10|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|5|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|5|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|5|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_DC|14|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|5|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Dice|10|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|5|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|6|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Duration|12|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|6|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|6|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|6|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_DC|15|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|6|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Dice|12|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|6|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|7|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Duration|14|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|7|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|7|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|7|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_DC|16|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|7|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Dice|14|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|7|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|8|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Duration|16|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|8|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|8|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|8|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_DC|17|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|8|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Dice|16|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|8|Stormborn Bloodline ~ Thunderbolt|Sorcerer_StormbornThunderbolt_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|9|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Duration|18|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|9|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|9|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|10|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Duration|20|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|10|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|10|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|11|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Duration|22|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|11|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|11|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|12|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Duration|24|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|12|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|12|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|13|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Duration|26|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|13|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|13|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|14|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Duration|28|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|14|Stormborn Bloodline ~ Ride the Lightning|Sorcerer_StormbornRideTheLightning_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|14|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|15|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|16|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|17|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|18|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Stormborn Bloodline|19|Stormborn Bloodline ~ Storm Lord|Sorcerer_StormbornStormLord_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|1|Undead Bloodline ~ Death's Gift|ColdResistanceBonus|0|NOT-HELD
LINE|Sorcerer|Undead Bloodline|1|Undead Bloodline ~ Death's Gift|Sorcerer_UndeadDeathsGift_DR|0|NOT-HELD
LINE|Sorcerer|Undead Bloodline|1|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_DC|10|NOT-HELD
LINE|Sorcerer|Undead Bloodline|1|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Dice|2|NOT-HELD
LINE|Sorcerer|Undead Bloodline|1|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|1|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Duration|2|NOT-HELD
LINE|Sorcerer|Undead Bloodline|1|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|2|Undead Bloodline ~ Death's Gift|ColdResistanceBonus|5|NOT-HELD
LINE|Sorcerer|Undead Bloodline|2|Undead Bloodline ~ Death's Gift|Sorcerer_UndeadDeathsGift_DR|5|NOT-HELD
LINE|Sorcerer|Undead Bloodline|2|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_DC|11|NOT-HELD
LINE|Sorcerer|Undead Bloodline|2|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Dice|4|NOT-HELD
LINE|Sorcerer|Undead Bloodline|2|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|2|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Duration|4|NOT-HELD
LINE|Sorcerer|Undead Bloodline|2|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|3|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_DC|12|NOT-HELD
LINE|Sorcerer|Undead Bloodline|3|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Dice|6|NOT-HELD
LINE|Sorcerer|Undead Bloodline|3|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|3|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Duration|6|NOT-HELD
LINE|Sorcerer|Undead Bloodline|3|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|4|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_DC|13|NOT-HELD
LINE|Sorcerer|Undead Bloodline|4|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Dice|8|NOT-HELD
LINE|Sorcerer|Undead Bloodline|4|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|4|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Duration|8|NOT-HELD
LINE|Sorcerer|Undead Bloodline|4|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|5|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_DC|14|NOT-HELD
LINE|Sorcerer|Undead Bloodline|5|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Dice|10|NOT-HELD
LINE|Sorcerer|Undead Bloodline|5|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|5|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Duration|10|NOT-HELD
LINE|Sorcerer|Undead Bloodline|5|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|6|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_DC|15|NOT-HELD
LINE|Sorcerer|Undead Bloodline|6|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Dice|12|NOT-HELD
LINE|Sorcerer|Undead Bloodline|6|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|6|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Duration|12|NOT-HELD
LINE|Sorcerer|Undead Bloodline|6|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|7|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_DC|16|NOT-HELD
LINE|Sorcerer|Undead Bloodline|7|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Dice|14|NOT-HELD
LINE|Sorcerer|Undead Bloodline|7|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|7|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Duration|14|NOT-HELD
LINE|Sorcerer|Undead Bloodline|7|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|8|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_DC|17|NOT-HELD
LINE|Sorcerer|Undead Bloodline|8|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Dice|16|NOT-HELD
LINE|Sorcerer|Undead Bloodline|8|Undead Bloodline ~ Grasp of the Dead|Sorcerer_UndeadGraspOfTheDead_Times|1|NOT-HELD
LINE|Sorcerer|Undead Bloodline|8|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Duration|16|NOT-HELD
LINE|Sorcerer|Undead Bloodline|8|Undead Bloodline ~ Incorporeal Form|Sorcerer_UndeadIncorporealForm_Times|1|NOT-HELD
